id,taxonomia,r_p_v_e,intensidad,alcaldia,entidad,area_m2,perime_m,intens_num,int2
668,Temperaturas máximas,Peligro,Alto,Iztapalapa,Ciudad de México,89903.83632,1284.567709,34 a 37.6,4
675,Temperaturas máximas,Peligro,Alto,Iztapalapa,Ciudad de México,981506.1598,5933.164493,34 a 37.6,4
687,Temperaturas máximas,Peligro,Medio,Iztacalco,Ciudad de México,71250.07707,1250.296789,30 a 33.9,3
688,Temperaturas máximas,Peligro,Alto,Iztacalco,Ciudad de México,151066.4026,1789.340596,34 a 37.6,4
711,Temperaturas máximas,Peligro,Alto,Iztapalapa,Ciudad de México,191091.005,1884.134794,34 a 37.6,4
715,Temperaturas máximas,Peligro,Alto,Iztapalapa,Ciudad de México,420708.4721,4868.602109,34 a 37.6,4
721,Temperaturas máximas,Peligro,Alto,Iztacalco,Ciudad de México,117736.7194,1535.075864,34 a 37.6,4
731,Temperaturas máximas,Peligro,Alto,Iztapalapa,Ciudad de México,161047.0689,1717.237418,34 a 37.6,4
754,Temperaturas máximas,Peligro,Medio,Milpa Alta,Ciudad de México,1438222.074,6159.579056,30 a 33.9,3
756,Temperaturas máximas,Peligro,Alto,Iztapalapa,Ciudad de México,104421.874,1296.661044,34 a 37.6,4
763,Temperaturas máximas,Peligro,Alto,Iztapalapa,Ciudad de México,385247.8955,3261.509618,34 a 37.6,4
765,Temperaturas máximas,Peligro,Alto,Iztapalapa,Ciudad de México,11110.17478,433.2970061,34 a 37.6,4
768,Temperaturas máximas,Peligro,Alto,Iztapalapa,Ciudad de México,238184.6224,2019.393935,34 a 37.6,4
777,Temperaturas máximas,Peligro,Alto,Iztapalapa,Ciudad de México,37323.76903,791.0793316,34 a 37.6,4
788,Temperaturas máximas,Peligro,Alto,Iztapalapa,Ciudad de México,114338.0555,1398.287309,34 a 37.6,4
791,Temperaturas máximas,Peligro,Alto,Iztapalapa,Ciudad de México,365979.0236,2980.954784,34 a 37.6,4
815,Temperaturas máximas,Peligro,Alto,Iztapalapa,Ciudad de México,361328.904,3287.155109,34 a 37.6,4
832,Temperaturas máximas,Peligro,Medio,La Magdalena Contreras,Ciudad de México,226996.8002,2207.199287,30 a 33.9,3
861,Temperaturas máximas,Peligro,Alto,Iztapalapa,Ciudad de México,535186.7232,2932.633101,34 a 37.6,4
869,Temperaturas máximas,Peligro,Alto,Iztapalapa,Ciudad de México,36108.54661,959.6499181,34 a 37.6,4
881,Temperaturas máximas,Peligro,Medio,Tlalpan,Ciudad de México,324220.1585,2251.66354,30 a 33.9,3
916,Temperaturas máximas,Peligro,Alto,Iztapalapa,Ciudad de México,266537.6442,2522.43626,34 a 37.6,4
931,Temperaturas máximas,Peligro,Alto,Iztacalco,Ciudad de México,198781.7067,2040.641867,34 a 37.6,4
938,Temperaturas máximas,Peligro,Alto,Iztapalapa,Ciudad de México,236032.9463,2471.049518,34 a 37.6,4
980,Temperaturas máximas,Peligro,Alto,Iztapalapa,Ciudad de México,341103.5584,3928.143687,34 a 37.6,4
992,Temperaturas máximas,Peligro,Alto,Iztapalapa,Ciudad de México,23373.59489,640.5855084,34 a 37.6,4
1000,Temperaturas máximas,Peligro,Medio,Tlalpan,Ciudad de México,538623.5543,2957.767056,30 a 33.9,3
1342,Temperaturas máximas,Peligro,Medio,Gustavo A. Madero,Ciudad de México,282902.3042,2529.390943,30 a 33.9,3
1343,Temperaturas máximas,Peligro,Medio,Gustavo A. Madero,Ciudad de México,296750.578,2836.859015,30 a 33.9,3
1359,Temperaturas máximas,Peligro,Medio,Azcapotzalco,Ciudad de México,269287.0315,2186.758479,30 a 33.9,3
1362,Temperaturas máximas,Peligro,Medio,Coyoacán,Ciudad de México,70884.51685,1132.037135,30 a 33.9,3
1368,Temperaturas máximas,Peligro,Medio,Azcapotzalco,Ciudad de México,100664.5793,1832.557131,30 a 33.9,3
1396,Temperaturas máximas,Peligro,Medio,Coyoacán,Ciudad de México,361890.8871,2515.323583,30 a 33.9,3
1399,Temperaturas máximas,Peligro,Alto,Gustavo A. Madero,Ciudad de México,234706.3751,2450.257015,34 a 37.6,4
1404,Temperaturas máximas,Peligro,Medio,Gustavo A. Madero,Ciudad de México,162623.4365,1789.577949,30 a 33.9,3
1419,Temperaturas máximas,Peligro,Medio,Iztacalco,Ciudad de México,245204.2266,2188.46581,30 a 33.9,3
1424,Temperaturas máximas,Peligro,Medio,Coyoacán,Ciudad de México,268860.4907,3608.078435,30 a 33.9,3
1454,Temperaturas máximas,Peligro,Alto,Coyoacán,Ciudad de México,336662.4495,3451.466792,34 a 37.6,4
1488,Temperaturas máximas,Peligro,Alto,Iztapalapa,Ciudad de México,221246.0268,2008.203846,34 a 37.6,4
1506,Temperaturas máximas,Peligro,Medio,Cuajimalpa de Morelos,Ciudad de México,789679.0741,4807.130662,30 a 33.9,3
1507,Temperaturas máximas,Peligro,Alto,Coyoacán,Ciudad de México,138158.2565,1733.164265,34 a 37.6,4
1510,Temperaturas máximas,Peligro,Medio,Coyoacán,Ciudad de México,89962.57104,1712.295015,30 a 33.9,3
1517,Temperaturas máximas,Peligro,Alto,Gustavo A. Madero,Ciudad de México,208835.1655,2070.590525,34 a 37.6,4
1521,Temperaturas máximas,Peligro,Alto,Coyoacán,Ciudad de México,387133.3446,2793.77649,34 a 37.6,4
1531,Temperaturas máximas,Peligro,Medio,Azcapotzalco,Ciudad de México,146458.7668,1699.16543,30 a 33.9,3
1560,Temperaturas máximas,Peligro,Alto,Coyoacán,Ciudad de México,425144.4353,3912.121288,34 a 37.6,4
1572,Temperaturas máximas,Peligro,Medio,Azcapotzalco,Ciudad de México,164250.2611,1800.990935,30 a 33.9,3
1574,Temperaturas máximas,Peligro,Alto,Gustavo A. Madero,Ciudad de México,267431.5663,2791.861156,34 a 37.6,4
1588,Temperaturas máximas,Peligro,Medio,Azcapotzalco,Ciudad de México,149451.4108,1626.341086,30 a 33.9,3
1591,Temperaturas máximas,Peligro,Medio,Álvaro Obregón,Ciudad de México,2252505.097,10717.74583,30 a 33.9,3
