id,taxonomia,r_p_v_e,intensidad,alcaldia,entidad,area_m2,perime_m,intens_num,int2
1351,Temperaturas máximas,Peligro,Medio,Gustavo A. Madero,Ciudad de México,325043.3502,2739.956438,30 a 33.9,3
1401,Temperaturas máximas,Peligro,Alto,Iztacalco,Ciudad de México,70816.79007,1068.681727,34 a 37.6,4
1433,Temperaturas máximas,Peligro,Alto,Gustavo A. Madero,Ciudad de México,116207.7399,1575.977637,34 a 37.6,4
1477,Temperaturas máximas,Peligro,Medio,Gustavo A. Madero,Ciudad de México,191351.4761,2417.185285,30 a 33.9,3
1489,Temperaturas máximas,Peligro,Alto,Coyoacán,Ciudad de México,181479.8714,1750.010561,34 a 37.6,4
1500,Temperaturas máximas,Peligro,Medio,Gustavo A. Madero,Ciudad de México,117050.2547,1738.67723,30 a 33.9,3
2007,Temperaturas máximas,Peligro,Alto,Miguel Hidalgo,Ciudad de México,382174.7871,2838.848593,34 a 37.6,4
2024,Temperaturas máximas,Peligro,Medio,Gustavo A. Madero,Ciudad de México,258225.3422,2474.236864,30 a 33.9,3
2055,Temperaturas máximas,Peligro,Alto,Cuauhtémoc,Ciudad de México,621443.8583,5069.456691,34 a 37.6,4
2071,Temperaturas máximas,Peligro,Alto,Benito Juárez,Ciudad de México,318568.5345,2398.073428,34 a 37.6,4
2081,Temperaturas máximas,Peligro,Alto,Cuauhtémoc,Ciudad de México,273315.9172,2194.757688,34 a 37.6,4
2092,Temperaturas máximas,Peligro,Alto,Iztacalco,Ciudad de México,317065.6428,2517.558828,34 a 37.6,4
2154,Temperaturas máximas,Peligro,Alto,Iztacalco,Ciudad de México,99024.64367,1292.602254,34 a 37.6,4
1511,Temperaturas máximas,Peligro,Alto,Coyoacán,Ciudad de México,108050.0386,1460.692213,34 a 37.6,4
1547,Temperaturas máximas,Peligro,Medio,Coyoacán,Ciudad de México,383070.743,2631.51324,30 a 33.9,3
1574,Temperaturas máximas,Peligro,Alto,Gustavo A. Madero,Ciudad de México,267431.5663,2791.861156,34 a 37.6,4
1585,Temperaturas máximas,Peligro,Medio,Azcapotzalco,Ciudad de México,178129.0863,1766.654156,30 a 33.9,3
1590,Temperaturas máximas,Peligro,Medio,Álvaro Obregón,Ciudad de México,98914.9033,2665.031472,30 a 33.9,3
1595,Temperaturas máximas,Peligro,Medio,La Magdalena Contreras,Ciudad de México,483822.1931,3335.350437,30 a 33.9,3
1599,Temperaturas máximas,Peligro,Alto,Iztapalapa,Ciudad de México,97338.29644,1371.742715,34 a 37.6,4
1606,Temperaturas máximas,Peligro,Medio,La Magdalena Contreras,Ciudad de México,284507.2987,2759.341714,30 a 33.9,3
1614,Temperaturas máximas,Peligro,Alto,Iztapalapa,Ciudad de México,83712.37873,1170.389219,34 a 37.6,4
